Original Link,Resolved CID
ar.wikipedia-on-ipfs.org/wiki/موت,bafkreiayegortco3pis3aq4zivjjas3vhkhlf73cshpi56ol2uwpc4rzxq
ar.wikipedia-on-ipfs.org/wiki/طب_بيطري,bafkreihtrxgicda4vhy3sz62eph3su7axps3r2q5bxhba4553v5j2me7cq
ar.wikipedia-on-ipfs.org/wiki/رقص,bafkreidmvsvgk75vaq754aqzmwpcyv5zr4wv5ngbctxqviue4k2ddu63ze
ar.wikipedia-on-ipfs.org/wiki/تصوير_(فنون_تشكيلية),bafkreibtabsrebx3eirbt3wmscwgckggem5aepyrbiaxishexj6cgzhpwq
ar.wikipedia-on-ipfs.org/wiki/برمجية,bafkreif7v4yqkhtt5yfqrbcn5avbi2wf76xgdt2pzzqfrir5ij7rxbuht4
ar.wikipedia-on-ipfs.org/wiki/أوقيانوسيا,bafkreiehpp77czmbsvhqfmvi2zih2tj22juzswwvfpreskpqiidi67vyfm
ar.wikipedia-on-ipfs.org/wiki/أفريقيا,bafybeict3oithmv7deq4h6ussonutiyqpor4hrehx3eigndj44nt4chyxm
ar.wikipedia-on-ipfs.org/wiki/مصر_القديمة,bafkreidoaw44g5jwpdtxxyegcc2kzantvjsvrmwctgaccnbcf77ls46yjm
ar.wikipedia-on-ipfs.org/wiki/الدولة_السلجوقية,bafkreidzbza4k6k5l3iknz7pa4jkyzfkruywku47ojyl6wei46gywwoco4
ar.wikipedia-on-ipfs.org/wiki/أمريكا_الشمالية,bafkreibesrgzlrtmm2ozwkfowsu7pcurq6waygqybkfd2rbx7wi5vmzsja
ar.wikipedia-on-ipfs.org/wiki/الشرق_الأدنى_القديم,bafkreigwsemir224b366yu3cloprxadzdoqope3uv7ntqu7uebwoyq6bgy
ar.wikipedia-on-ipfs.org/wiki/نقل,bafkreifg6p6z6k5gbi3j4lripfbpbagzkucmqtaaizv2s5wzs334ztgly4
ar.wikipedia-on-ipfs.org/wiki/تاريخ_الصين,bafkreifpjgis2yujufpg7geogyy2mpnhdiwiqisyrty227tlmsje2qnnym
ar.wikipedia-on-ipfs.org/wiki/تنمية_مستدامة,bafkreigstzazjmulfccj4dndcael4vo674pnjsx4hwnv4q6enenynwa6i4
ar.wikipedia-on-ipfs.org/wiki/موسوعة,bafkreihy4hbzkblvez4qfpeksdavds7qgjjostdsj646z3v7rtsydb3yhu
ar.wikipedia-on-ipfs.org/wiki/عمارة,bafkreiettg2zf4lxzr2px4gajdjndumfktothfaifmjqwsag3erhbn7dxe
ar.wikipedia-on-ipfs.org/wiki/علم_شعارات_النبالة,bafkreiaefpxqqi3tdx7hh22fm47lo3d6qczidk5tf4pnawvgyfhdonzrdu
ar.wikipedia-on-ipfs.org/wiki/علم_الحاسوب,bafkreiga3ed2lcazevhc3obrp7byvt5eiq5ifvo5vt3ueafzx6uqwd6vcy
ar.wikipedia-on-ipfs.org/wiki/موضة,bafkreihnelhodtzfdjqz674647gbqulr45jdagbmju37psicpixnicmceq
ar.wikipedia-on-ipfs.org/wiki/قطار,bafkreihm2kl5s6f2pxltc7tdqy2c5xzxcndstwtyjmqom5p5v2voj23egm
ar.wikipedia-on-ipfs.org/wiki/اتحاد_الرغبي,bafkreiase7brfvg4onrdwkeckvn4f5wfd5feai3nulub3pirri3uw7762y
ar.wikipedia-on-ipfs.org/wiki/ويكي_الأخبار,bafkreicgy6n3qtvm4bhzjkggpjmdktkxvd7fncjnhib46g4hzwolpdyw3q
ar.wikipedia-on-ipfs.org/wiki/سياسة,bafkreid7ue2ax4ocax74fcm6qi6r7p2spupml23lxfz3tdo42gq7ipge6y
ar.wikipedia-on-ipfs.org/wiki/اليونان_القديمة,bafkreifjvhpur3whgk5s7ozcaddrqumbkiceh7v2ihp35pmjuvhg664e24
