Original Link,Resolved CID
fa.wikipedia-on-ipfs.org/wiki/واسکو_دو_گاما,bafkreidej66mncenvadcrdjc56ttmkbxvvlbfnax2doe3z3rswthc5blpa
fa.wikipedia-on-ipfs.org/wiki/زبان_ویتنامی,bafkreihrn7yb4s6g6ztu7aanu636ebx3lnyywgxa2knjqisqy4fgrxmrdu
fa.wikipedia-on-ipfs.org/wiki/زبان_فارسی,bafybeiggqx3u45mqshkid2fh32hh5ug6cf7letebn2nxsf3iiof7rr5ms4
fa.wikipedia-on-ipfs.org/wiki/زبان_باسکی,bafkreibc3y3dtjgnw2bmkxzw2ngv7gltk346tdtme4grgsxxd6vfn6toxe
fa.wikipedia-on-ipfs.org/wiki/راهبه,bafkreiaiteoa5zvawuraubcqzalhplxub5imboo3tm4ps672qcioapngie
fa.wikipedia-on-ipfs.org/wiki/زبان_قزاقی,bafkreifwiclcysjvabvqbcgbmradpdg46esvbykagwbgeimmc4chycg35m
fa.wikipedia-on-ipfs.org/wiki/زبان_تاجیکی,bafkreiad4uu2okifxf5oapoby6tbrms7nrurq53zlvgb5mngldqqgvc5ii
fa.wikipedia-on-ipfs.org/wiki/زبان_اسلوونیایی,bafkreigzorirh332ea55lbyboku3pr67jhcwahv54av7hlythucpb3daqm
fa.wikipedia-on-ipfs.org/wiki/۱۹۴۴_(میلادی),bafkreiegccw2jvr5qqieedw3i3j2ugwfbbgegjzsvtauxxtjjulnnfiki4
fa.wikipedia-on-ipfs.org/wiki/ژول_ورن,bafkreietblo4hrbhznwlzcwr3rigplum7rmw4uqkseio6pnstczyyjeqai
fa.wikipedia-on-ipfs.org/wiki/ماری_کوری,bafybeidrz26q76mavgxvo3jmyi2qygnepineiupujdrls34dlptab3mx3e
fa.wikipedia-on-ipfs.org/wiki/گاه‌شماری_هجری_خورشیدی,bafkreihgrtp3p7csw6vdo5nmwhwnmvpzhudidskgzrlovn2cnj7l6v7muy
fa.wikipedia-on-ipfs.org/wiki/بان_کی‌مون,bafkreibe5e2f2mksc3cd7vj2x3irdqmmncwsrbhks5mjzftjb6nnbbyj7a
fa.wikipedia-on-ipfs.org/wiki/ایرلند,bafkreihkfeqxy743zgapksi26svrn237kn45n3w24yrvm6xeonbufbqcs4
fa.wikipedia-on-ipfs.org/wiki/بنیاد_ویکی‌مدیا,bafkreiemzldwmhmywrizs2wku64s3dd6g5mxeibikyroutyrglzkq2ieqm
fa.wikipedia-on-ipfs.org/wiki/پیر_کوری,bafkreihom2yf5oconodtmt4x7dtsu7xq2hcme44k3avg6pwm62uguq5lo4
fa.wikipedia-on-ipfs.org/wiki/زبان_گرجی,bafkreiezgfeyntfbpuoxapdw4f2fmhe3ujvxcjhafgd5ehk3fjatpeknta
fa.wikipedia-on-ipfs.org/wiki/جیمز_کلرک_ماکسول,bafkreicjmiydv4tgpjmlrzr5vah7fayfnlwp3jydbd2e2ulkdgu6ynmhla
fa.wikipedia-on-ipfs.org/wiki/زبان_تاتاری,bafkreifyqkfan6ruptgrqcuiwf7zrda64x332422t626tvqqwwlat5xq2e
fa.wikipedia-on-ipfs.org/wiki/محتوای_آزاد,bafkreiasfllvucantg3fptxeqm5nimhqutsv6k4mhl2rc6wwhoi6h5uyqi
fa.wikipedia-on-ipfs.org/wiki/برونیسواوا_دوسکا,bafkreicrm7tvde5drt4hoaze57ex3fk3idwo3cr3gp6g4cutgpn3heg4yq
fa.wikipedia-on-ipfs.org/wiki/زبان_ارمنی,bafkreifmqjsa7l675bwavq5pfq7lentupyk3jo6u7w42wzblcn3m6sekea
fa.wikipedia-on-ipfs.org/wiki/جایزه_نوبل,bafkreicrvxglwc4kqptfsrjvz55waxwnnswy3ascwmlve5m5sz4b54a2iq
fa.wikipedia-on-ipfs.org/wiki/زبان_سوئدی,bafkreid6a5ld5hk57f6remd3qrdurivehy6jalysg7ypmrldj6a36cw4gm
fa.wikipedia-on-ipfs.org/wiki/زبان_آستوری,bafkreiezd6r2k5x3q5jiz4retv3z2vwwwggduheakoe3sg3ab7xwmsrmka
fa.wikipedia-on-ipfs.org/wiki/ایالت_سند,bafkreibgu67q6dpczti5hvjstg5dtx6kj7l46o7p4evqarkv6qnyn2rirq
fa.wikipedia-on-ipfs.org/wiki/بازیگر,bafkreiepve7axigqbahodtideph2xg6alc6enc6b4zu5suvwlqenznuvb4
fa.wikipedia-on-ipfs.org/wiki/من_نیویورک_را_دوست_دارم,bafkreihijnwi6zklnqq7kktrjupbxt46jblcld57b2w5hwig3dice5ippa
fa.wikipedia-on-ipfs.org/wiki/نویسنده,bafkreiexixmgkrky6t5cvvr5t5fpwsdblyhonbzitpbgs3i2ubwpmihwji
fa.wikipedia-on-ipfs.org/wiki/زبان_فرانسوی,bafkreicmfs4g3oyw7f6uqebu4wpucinrck633h4dndr6hralba6svzjiba
fa.wikipedia-on-ipfs.org/wiki/پولونیوم,bafkreiaquyqutgqdtmg6pd5qi7kn4ii44vvdfhuyzmkvzn4o2sflxbnhmi
fa.wikipedia-on-ipfs.org/wiki/مارتین_بوبر,bafkreieuiq7vfzxstxji7we4fukgx33ayx5wyny77orwjnpffchet5weui
fa.wikipedia-on-ipfs.org/wiki/زبان_رومانیایی,bafkreibovfutqnpae7ondfcin2c3wkkizlksiy47ht2unssgz5637fijia
fa.wikipedia-on-ipfs.org/wiki/پرواز_از_نزدیک_(پرواز_فضایی),bafkreidbs6xrahxb2bvzcks6f5dvbsbdepmtrqmv2yfmlo6jeab6dgkfxu
fa.wikipedia-on-ipfs.org/wiki/مرگ‌ها_در_۲۰۲۱,bafybeid2g54odv2pe64nyvrmvr6nxoj33udf4q3u3kva6b2sesfesenise
fa.wikipedia-on-ipfs.org/wiki/زبان_لتونیایی,bafkreifgepwmksa2ozkdj5k6purpjry7sspb7ngkzy6jdtege6tcfgzwx4
fa.wikipedia-on-ipfs.org/wiki/زبان_مجاری,bafkreihxdbzpeg6puml63hqgqz3im6bm6l2nyju3xdtpjwfoildwui3p6a
