Original Link,Resolved CID
tr.wikipedia-on-ipfs.org/wiki/Uzay_yolculuğu,bafkreicodl3bihefh3xt7l4i34gb3liewisdaorybenvz5ryf3wveqxl24
tr.wikipedia-on-ipfs.org/wiki/Adli_tıp,bafkreibe5kjs7n2vpj6tijch647erg23kzdbbsdoqsls5lt3apbh2cm3my
tr.wikipedia-on-ipfs.org/wiki/Büyük_Selçuklu_İmparatorluğu,bafkreie5k3z74oyjtukv6ypn532lq4b6fs7wz6dct7jzagihkjbkmrnkk4
tr.wikipedia-on-ipfs.org/wiki/Rus_İmparatorluğu,bafkreifpud5dz3k6c2mychfc3cqecsvy22kjnk2xwiy7ubljxmnhm6vq5u
tr.wikipedia-on-ipfs.org/wiki/Ragbi_birliği,bafkreich5ip4655beax6bsp25sy3r54ljtncz7h6oyxosxs7ntw7zzninq
tr.wikipedia-on-ipfs.org/wiki/Asya_Oyunları,bafybeic7dplylrbb3pngzoqyumyljopfru5goebca5fqobpgk7v67lktm4
tr.wikipedia-on-ipfs.org/wiki/Kamu_malı,bafkreiemblpyqlvx5gc5tsv4r5o6ikg4cp5ngqlbtfmteszcqofilconxu
tr.wikipedia-on-ipfs.org/wiki/Haçlılar,bafkreid5xexezgcqnrcenp2624xktlhiaudp6gqxxwp34kf2vebymz2qdm
tr.wikipedia-on-ipfs.org/wiki/Klasik_antik_dönem,bafkreicqnsynot6xm45cha6tcws2s4ui6itwwr6z2szssw72sqox4p7lqu
tr.wikipedia-on-ipfs.org/wiki/Eczacılık,bafkreidppocct4uxuc7hstw4c5qzlnghvv33ap7b4phc4odanwpp3bxuei
tr.wikipedia-on-ipfs.org/wiki/Hemşirelik,bafkreic6tis6pzsr3vj2656g5f76jy5yzbl5urqe3psaziszlrgdt5aplm
tr.wikipedia-on-ipfs.org/wiki/Sömürgecilik,bafkreidgknm732saszy3othkjvxbiln7x2fohiqcd5qxkjfmf4ubcr5obi
tr.wikipedia-on-ipfs.org/wiki/Ölüm,bafkreiby6cnfsnfkd2sve7nfjj3jppu3gucd4nyd7etjvqo7n6jcbbmhby
tr.wikipedia-on-ipfs.org/wiki/Osmanlı_İmparatorluğu,bafybeicmqvze2vjytusjwfgy7mou26rlhw77dxuppzgxa4mt7563jecnse
